name,ALIGN,EYE,HAIR,SEX,GSM,APPEARANCES,YEAR
Soranik Natu (New Earth),Good Characters,Purple Eyes,Black Hair,Female Characters,,93,2005
Anissa Pierce (New Earth),Good Characters,Brown Eyes,Black Hair,Female Characters,Homosexual Characters,92,2003
Roman Sionis (New Earth),Bad Characters,Black Eyes,,Male Characters,,92,1985
"Henry King, Jr. (New Earth)",Good Characters,Blue Eyes,Strawberry Blond Hair,Male Characters,,92,1983
Orm Marius (New Earth),Bad Characters,Brown Eyes,Brown Hair,Male Characters,,92,1966
Citizen Abra (New Earth),Bad Characters,Blue Eyes,Black Hair,Male Characters,,92,1962
Abin Sur (New Earth),Good Characters,Blue Eyes,,Male Characters,,92,1959
Merlin (New Earth),Neutral Characters,Black Eyes,White Hair,Male Characters,,92,1936
William Payton (New Earth),Good Characters,Brown Eyes,Brown Hair,Male Characters,,91,1988
Danette Reilly (New Earth),Good Characters,Blue Eyes,Red Hair,Female Characters,,91,1981
Jonathan Tane (New Earth),Good Characters,Blue Eyes,Blond Hair,Male Characters,,91,1948
Ronald Troupe (New Earth),Good Characters,Brown Eyes,Black Hair,Male Characters,,90,1991
William Storm (New Earth),Good Characters,Brown Eyes,Brown Hair,Male Characters,,90,1964
Hermes (New Earth),Neutral Characters,Blue Eyes,Blond Hair,Male Characters,,90,1959
Timothy Hunter (New Earth),Good Characters,Black Eyes,Black Hair,Male Characters,,89,1990
Taghurrhu (New Earth),Good Characters,Green Eyes,Orange Hair,Male Characters,,89,1981
Sandra Wu-San (New Earth),Neutral Characters,Brown Eyes,Black Hair,Female Characters,,89,1976
Eobard Thawne (New Earth),Bad Characters,Blue Eyes,Strawberry Blond Hair,Male Characters,,89,1963
William Zard (New Earth),Bad Characters,Blue Eyes,Black Hair,Male Characters,,89,1947
Arnold Wesker (New Earth),Bad Characters,Blue Eyes,White Hair,Male Characters,,88,1988
Philippus (New Earth),Good Characters,Brown Eyes,Black Hair,Female Characters,,88,1987
David Clinton (New Earth),,Blue Eyes,Black Hair,Male Characters,,88,1962
Bobo T. Chimpanzee (New Earth),,Black Eyes,Black Hair,Male Characters,,88,1952
Miriam Delgado (Team Titans),Good Characters,Black Eyes,Black Hair,Female Characters,,87,1991
Mister Bones (New Earth),Neutral Characters,,,Male Characters,,87,1985
Mikaal Tomas (New Earth),Good Characters,Blue Eyes,Purple Hair,Male Characters,Homosexual Characters,87,1976
Peter Ross (New Earth),Good Characters,Blue Eyes,Blond Hair,Male Characters,,87,1961
Matthew Tyler (New Earth),Good Characters,White Eyes,,Male Characters,,86,1997
Suzanne King-Jones (New Earth),Good Characters,Blue Eyes,Blond Hair,Female Characters,,86,1997
Rosabelle Mendez (New Earth),Good Characters,Red Eyes,,,,86,1991
Sardath (New Earth),Good Characters,Blue Eyes,,Male Characters,,86,1958
Herakles (New Earth),,Brown Eyes,Brown Hair,Male Characters,,86,1941
Harold Thompson (New Earth),,Blue Eyes,Blond Hair,Male Characters,,86,1938
Shayera Thal (New Earth),Good Characters,Blue Eyes,Red Hair,Female Characters,,85,1989
Mallah (New Earth),Bad Characters,Brown Eyes,Brown Hair,Male Characters,Homosexual Characters,85,1964
Congorilla (New Earth),Good Characters,Blue Eyes,Gold Hair,Male Characters,,85,1959
Thomas Elliot (New Earth),Bad Characters,Blue Eyes,Red Hair,Male Characters,,84,2003
Greta Hayes (New Earth),Good Characters,Blue Eyes,Blond Hair,Female Characters,,84,1998
Parallax (New Earth),Bad Characters,,,,,84,1994
Julia Deneiros (New Earth),Good Characters,Blue Eyes,Grey Hair,Female Characters,,84,1987
Etta Candy (New Earth),Good Characters,Green Eyes,Brown Hair,Female Characters,,84,1942
Jonathan Law (New Earth),,Blue Eyes,Blond Hair,Male Characters,,84,1941
Thomas Bronson (New Earth),Good Characters,Blue Eyes,Black Hair,Male Characters,,83,2007
Norda Cantrell (New Earth),,White Eyes,Brown Hair,Male Characters,,83,1983
Karen Beecher (New Earth),Good Characters,Brown Eyes,Black Hair,Female Characters,,83,1976
Ellen Frazier (New Earth),Good Characters,Green Eyes,Red Hair,Female Characters,,83,1965
Simon Stagg (New Earth),Bad Characters,Blue Eyes,White Hair,Male Characters,,83,1965
"Rex, the Wonder Dog (New Earth)",Good Characters,Blue Eyes,White Hair,Male Characters,,83,1952
Isamot Kol (New Earth),Good Characters,Yellow Eyes,,Male Characters,,82,2005
Thomas Monaghan (New Earth),Good Characters,Black Eyes,Black Hair,Male Characters,,82,1993
Tomar-Tu (New Earth),Good Characters,White Eyes,,Male Characters,,82,1990
Kalibak (New Earth),Bad Characters,Red Eyes,Black Hair,Male Characters,,82,1971
Drury Walker (New Earth),Bad Characters,Red Eyes,Brown Hair,Male Characters,,82,1951
Terrence Thirteen (New Earth),Good Characters,Brown Eyes,Brown Hair,Male Characters,,82,1951
Hannibal Hawkes (New Earth),Good Characters,Black Eyes,Black Hair,Male Characters,,82,1948
Circe (New Earth),Bad Characters,Red Eyes,Purple Hair,Female Characters,,81,1988
Baran Flinders (New Earth),Bad Characters,Blue Eyes,Red Hair,Male Characters,,81,1981
Mark Shaw (New Earth),Good Characters,Blue Eyes,Brown Hair,Male Characters,,81,1975
Neal Emerson (New Earth),Bad Characters,Blue Eyes,Black Hair,Male Characters,,81,1963
Cameron Chase (New Earth),Good Characters,Green Eyes,Blond Hair,Female Characters,,80,1998
John Corben (New Earth),Bad Characters,Photocellular Eyes,Brown Hair,Male Characters,,80,1987
Vanessa Kapatelis (New Earth),Good Characters,Blue Eyes,Brown Hair,Female Characters,,80,1987
Lian Harper (New Earth),Good Characters,Green Eyes,Black Hair,Female Characters,,80,1986
Malcolm Duncan (New Earth),Good Characters,Brown Eyes,Black Hair,Male Characters,,80,1970
Samuel Scudder (New Earth),Bad Characters,Brown Eyes,Brown Hair,Male Characters,,80,1959
Sasha Bordeaux (New Earth),Good Characters,Blue Eyes,Black Hair,Female Characters,,79,2000
L-Ron (New Earth),Good Characters,Photocellular Eyes,,Male Characters,,79,1988
Rudolph Jones (New Earth),Bad Characters,,,Male Characters,,79,1987
Valentina Vostok (New Earth),Good Characters,Blue Eyes,Blond Hair,Female Characters,,79,1977
Paul Booker (New Earth),Good Characters,Brown Eyes,Black Hair,Male Characters,,79,1966
Abigail Hunkel (New Earth),Good Characters,Black Eyes,Brown Hair,Female Characters,,79,1939
Cyril Saunders (New Earth),Good Characters,Hazel Eyes,White Hair,Male Characters,,79,1937
Jakeem Williams (New Earth),,Brown Eyes,,Male Characters,,79,
Owen Mercer (New Earth),Reformed Criminals,Blue Eyes,Red Hair,Male Characters,,78,2004
Christopher Smith (New Earth),Good Characters,Blue Eyes,Black Hair,Male Characters,,78,1966
Roger Hayden (New Earth),Bad Characters,Blue Eyes,Red Hair,Male Characters,,78,1965
Hector Hammond (New Earth),Bad Characters,Blue Eyes,Brown Hair,Male Characters,,78,1961
Lorena Marquez (New Earth),Good Characters,Brown Eyes,Brown Hair,Female Characters,,77,2004
Boodikka (New Earth),Good Characters,Green Eyes,Black Hair,Female Characters,,77,1992
Samuel Lane (New Earth),Bad Characters,Blue Eyes,Grey Hair,Male Characters,,77,1987
"Thaddeus Sivana, Sr. (New Earth)",Bad Characters,Black Eyes,,Male Characters,,77,1987
Joshua Clay (New Earth),,Brown Eyes,Black Hair,Male Characters,,77,1977
Lashina (New Earth),Bad Characters,Blue Eyes,Black Hair,Female Characters,,77,1972
Brain (New Earth),Bad Characters,,,Male Characters,Homosexual Characters,77,1964
Curtis Metcalf (Dakotaverse),Good Characters,Brown Eyes,Black Hair,Male Characters,,76,1993
Brik (New Earth),Good Characters,White Eyes,,Female Characters,,76,1991
Adrian Chase (New Earth),,Blue Eyes,Blond Hair,Male Characters,,76,1982
Java (New Earth),Bad Characters,Black Eyes,Black Hair,Male Characters,,76,1965
Horace Canfield (New Earth),Good Characters,,,Male Characters,,76,1961
Captain Harding (New Earth),Good Characters,,Brown Hair,Male Characters,,76,1956
Helena Sandsmark (New Earth),Good Characters,Brown Eyes,Brown Hair,Female Characters,,75,1996
Sarah Charles (New Earth),Good Characters,Brown Eyes,Black Hair,Female Characters,,75,1985
Tomar-Re (New Earth),Good Characters,Red Eyes,,Male Characters,,75,1961
"Richard Flag, Jr. (New Earth)",Good Characters,Blue Eyes,Brown Hair,Male Characters,,75,1959
Nathaniel Heywood (New Earth),Good Characters,Green Eyes,Red Hair,Male Characters,,74,2007
Hugh Dawkins (New Earth),Good Characters,White Eyes,Blond Hair,Male Characters,Homosexual Characters,74,1986
Matthew Cable (New Earth),,,Black Hair,Male Characters,,74,1972
Starro (New Earth),Bad Characters,Black Eyes,,Male Characters,,74,1960
Topo (New Earth),Good Characters,,,Male Characters,,74,1956
Winslow Schott (New Earth),Bad Characters,Blue Eyes,,Male Characters,,74,1943
Ultra-Humanite (New Earth),,Red Eyes,White Hair,Male Characters,,74,1939
Neron (New Earth),Bad Characters,White Eyes,Blond Hair,Male Characters,,73,1995
Victor Zsasz (New Earth),Bad Characters,Blue Eyes,Blond Hair,Male Characters,,73,1992
Kay Challis (New Earth),Good Characters,Blue Eyes,Black Hair,Female Characters,,73,1989
Roland Desmond (New Earth),Bad Characters,Brown Eyes,Brown Hair,Male Characters,,73,1965
Carl Sands (New Earth),Bad Characters,Brown Eyes,Black Hair,Male Characters,,73,1961
Dane Dorrance (New Earth),Good Characters,Brown Eyes,Brown Hair,Male Characters,,73,1960
Flying Cloud (New Earth),Good Characters,Brown Eyes,Brown Hair,Male Characters,,73,1960
"Peter Merkel, Jr. (New Earth)",Bad Characters,Grey Eyes,Red Hair,Male Characters,,72,2005
Garryn Bek (New Earth),Good Characters,Blue Eyes,Brown Hair,Male Characters,,72,1989
Jose Delgado (New Earth),Good Characters,Brown Eyes,Black Hair,Male Characters,,72,1987
Mogo (New Earth),Good Characters,,,Male Characters,,72,1985
Cain (New Earth),Bad Characters,Black Eyes,Brown Hair,Male Characters,,72,1968
Steven Trevor (New Earth),Good Characters,Blue Eyes,Blond Hair,Male Characters,,72,1941
Edgar Cizko (New Earth),Bad Characters,Blue Eyes,Black Hair,Male Characters,,71,1991
Louise Lincoln (New Earth),Bad Characters,Blue Eyes,Blue Hair,Female Characters,,71,1984
Brian Savage (New Earth),Good Characters,Blue Eyes,Black Hair,Male Characters,,71,1977
Thomas Oscar Morrow (New Earth),Bad Characters,Blue Eyes,Brown Hair,Male Characters,,71,1964
Amazo (New Earth),Bad Characters,Red Eyes,,Male Characters,,71,1960
Kingsley Faraday (New Earth),Good Characters,Blue Eyes,White Hair,Male Characters,,70,1950
Clifford Zmeck (New Earth),Bad Characters,Blue Eyes,Brown Hair,Male Characters,,69,1988
Nabu (New Earth),Good Characters,Blue Eyes,White Hair,Male Characters,,69,1941
Bleez (New Earth),Neutral Characters,Blue Eyes,Black Hair,Female Characters,,68,2008
Hannu (New Earth),Good Characters,White Eyes,,Male Characters,,68,1994
Catherine Cobert (New Earth),Good Characters,Blue Eyes,Black Hair,Female Characters,,68,1987
Harry Stein (New Earth),Good Characters,Brown Eyes,Brown Hair,Male Characters,,68,1985
Adeline Kane (New Earth),Neutral Characters,Green Eyes,Brown Hair,Female Characters,,68,1983
Green Man (New Earth),,Red Eyes,,Male Characters,,68,1983
Tara Markov (New Earth),Bad Characters,Blue Eyes,Blond Hair,Female Characters,,68,1982
Shakira (New Earth),Good Characters,,Black Hair,Female Characters,,68,1980
Tara Morgan (New Earth),Good Characters,,Brown Hair,Female Characters,,68,1975
Isaac Bowin (New Earth),,Blue Eyes,,Male Characters,,68,1948
Hop Harrigan (New Earth),Good Characters,Blue Eyes,Blond Hair,Male Characters,,68,1939
Sonia Sato (New Earth),Good Characters,,Black Hair,Female Characters,,67,2007
Vath Sarn (New Earth),Good Characters,Black Eyes,Black Hair,Male Characters,,67,2005
Mercy Graves (New Earth),Bad Characters,Blue Eyes,Blond Hair,Female Characters,,67,1999
Arnold Munro (New Earth),Good Characters,Blue Eyes,Black Hair,Male Characters,,67,1987
Bibbo Bibbowski (New Earth),Good Characters,Grey Eyes,Grey Hair,Male Characters,,67,1987
Jebediah of Canaan (New Earth),Good Characters,Blue Eyes,White Hair,Male Characters,,67,1987
Lawrence Bolatinsky (New Earth),Bad Characters,Blue Eyes,Black Hair,Male Characters,,67,1984
Lydea Mallor (New Earth),Good Characters,Blue Eyes,Black Hair,Female Characters,,67,1982
Tana Moon (New Earth),Good Characters,Brown Eyes,Black Hair,Female Characters,,66,1993
Maxine Baker (New Earth),Good Characters,Green Eyes,Red Hair,Female Characters,,66,1988
Frances Kane (New Earth),,Blue Eyes,Purple Hair,Female Characters,,66,1982
Jason Bard (New Earth),Good Characters,Brown Eyes,Brown Hair,Male Characters,,66,1969
Krona (New Earth),Bad Characters,Green Eyes,White Hair,Male Characters,,66,1965
Daniel Dunbar (New Earth),Good Characters,Blue Eyes,Red Hair,Male Characters,,66,1942
Scandal Savage (New Earth),Bad Characters,Brown Eyes,Brown Hair,Female Characters,Homosexual Characters,65,2005
Mackenzie Bock (New Earth),Good Characters,Brown Eyes,,Male Characters,,65,1995
Jeremiah Arkham (New Earth),Bad Characters,,,Male Characters,,65,1992
Amon Hakk (New Earth),Good Characters,,Black Hair,Male Characters,,65,1991
Garv (New Earth),Good Characters,Blue Eyes,,Male Characters,,65,1990
Karen Lou Faulkner (New Earth),Neutral Characters,Brown Eyes,Brown Hair,Female Characters,Homosexual Characters,65,1987
Albert Desmond (New Earth),,Green Eyes,Red Hair,Male Characters,,65,1958
Kent V. Nelson (New Earth),Good Characters,Brown Eyes,Blond Hair,Male Characters,,64,2007
Janos Prohaska (New Earth),Good Characters,Blue Eyes,Black Hair,Male Characters,,64,1988
Edward Fyers (New Earth),Good Characters,Blue Eyes,Brown Hair,Male Characters,,64,1987
Mister Mxyzptlk (New Earth),Neutral Characters,Black Eyes,White Hair,Male Characters,,64,1987
Jor-El (New Earth),Good Characters,Blue Eyes,Black Hair,Male Characters,,64,1986
Yolanda Montez (New Earth),Good Characters,Brown Eyes,Reddish Brown Hair,Female Characters,,64,1985
William Randolph Wintergreen (New Earth),Neutral Characters,,White Hair,Male Characters,,64,1980
William Hand (New Earth),Bad Characters,Brown Eyes,Black Hair,Male Characters,,64,1964
Molly Mayne (New Earth),Good Characters,Green Eyes,Red Hair,Female Characters,,64,1947
Scribbly Jibbet (New Earth),Good Characters,,Black Hair,Male Characters,,64,1939
Amy Winston (New Earth),Good Characters,Violet Eyes,Blond Hair,Female Characters,,63,1983
Charis-Nar (New Earth),Good Characters,Black Eyes,,Male Characters,,63,1981
Pooch (New Earth),Good Characters,,White Hair,Male Characters,,63,1959
Tex (New Earth),Good Characters,,Red Hair,Male Characters,,63,1947
Clifford DeVoe (New Earth),Bad Characters,,Black Hair,Male Characters,,63,1943
Klarion Bleak (New Earth),Neutral Characters,Black Eyes,Black Hair,Male Characters,,62,1973
Mark Merlin (New Earth),Good Characters,Blue Eyes,Brown Hair,Male Characters,,62,1959
Garfield Lynns (New Earth),Bad Characters,Blue Eyes,White Hair,Male Characters,,62,1952
David Reid (New Earth),Neutral Characters,Blue Eyes,Blond Hair,Male Characters,,61,2008
Nanaue (New Earth),Bad Characters,Black Eyes,,Male Characters,,61,1994
Emil LaSalle (New Earth),Bad Characters,Brown Eyes,Black Hair,Male Characters,,61,1981
Clifford Carmichael (New Earth),Bad Characters,Brown Eyes,Brown Hair,Male Characters,,61,1978
"Henry Heywood, Sr. (New Earth)",,Blue Eyes,Black Hair,Male Characters,,61,1978
Morgaine le Fey (New Earth),Bad Characters,Black Eyes,Black Hair,Female Characters,,61,1972
Francine Lee (New Earth),Good Characters,Brown Eyes,,Female Characters,,61,1970
Per Degaton (New Earth),Bad Characters,Red Eyes,Red Hair,Male Characters,,61,1947
Roxanne Leech (New Earth),Good Characters,Blue Eyes,Blond Hair,Female Characters,,60,1993
Paco Ramone (New Earth),Good Characters,Brown Eyes,Brown Hair,Male Characters,,60,1984
Bette Sans Souci (New Earth),Bad Characters,Blue Eyes,Red Hair,Female Characters,,60,1982
Chaselon (New Earth),,White Eyes,Black Hair,Male Characters,,60,1961
Martha Roberts (New Earth),Good Characters,Brown Eyes,Brown Hair,Female Characters,,60,1939
Ferrin Colos (New Earth),Good Characters,White Eyes,,Male Characters,,59,1992
Angela Hawkins III (New Earth),Bad Characters,Green Eyes,Black Hair,Female Characters,,59,1981
Pren (New Earth),Good Characters,Blue Eyes,Red Hair,Male Characters,,59,1981
Simon Jones (New Earth),Bad Characters,White Eyes,,Male Characters,,59,1981
Arthur Brown (New Earth),Bad Characters,Blue Eyes,Blond Hair,Male Characters,,59,1966
Richard Starr (New Earth),Good Characters,Blue Eyes,Black Hair,Male Characters,,59,1958
Paula Brooks (New Earth),,Green Eyes,Black Hair,Female Characters,,59,1947
Langford Terrill (New Earth),Good Characters,Blue Eyes,Blond Hair,Male Characters,,59,1940
Ryan Kendall (New Earth),Good Characters,Blue Eyes,Black Hair,Male Characters,,58,1992
Death (New Earth),Neutral Characters,Black Eyes,Black Hair,Female Characters,,58,1989
Cameron Mahkent (New Earth),Bad Characters,Blue Eyes,White Hair,Male Characters,,58,1987
Irwin Schwab (New Earth),Good Characters,Green Eyes,,Male Characters,,58,1982
Trigon (New Earth),Bad Characters,Red Eyes,Red Hair,Male Characters,,58,1981
James Rook (New Earth),Good Characters,Green Eyes,Brown Hair,Male Characters,,58,1969
Tula (New Earth),,Blue Eyes,Brown Hair,Female Characters,,58,1967
Chemo (New Earth),Bad Characters,,,,,58,1962
Roscoe Dillon (New Earth),Bad Characters,Blue Eyes,Brown Hair,Male Characters,,58,1961
Ronald Reagan (New Earth),Good Characters,,Black Hair,Male Characters,,58,1950
Jonathan Gabrielli I (New Earth),Good Characters,Black Eyes,Black Hair,Male Characters,,58,1942
Anita Fite (New Earth),Good Characters,Brown Eyes,Black Hair,Female Characters,,57,2000
Arak Red-Hand (New Earth),Good Characters,Brown Eyes,Black Hair,Male Characters,,57,1981
